Alexander (R-TN), Yea 
Baldwin (D-WI), Nay 
Barrasso (R-WY), Yea 
Bennet (D-CO), Nay 
Blumenthal (D-CT), Nay 
Blunt (R-MO), Yea 
Booker (D-NJ), Nay 
Boozman (R-AR), Yea 
Brown (D-OH), Nay 
Burr (R-NC), Yea 
Cantwell (D-WA), Nay 
Capito (R-WV), Yea 
Cardin (D-MD), Nay 
Carper (D-DE), Nay 
Casey (D-PA), Nay 
Cassidy (R-LA), Yea 
Cochran (R-MS), Yea 
Collins (R-ME), Nay 
Coons (D-DE), Nay 
Corker (R-TN), Yea 
Cornyn (R-TX), Yea 
Cortez Masto (D-NV), Nay 
Cotton (R-AR), Yea 
Crapo (R-ID), Yea 
Cruz (R-TX), Yea 
Daines (R-MT), Yea 
Donnelly (D-IN), Nay 
Duckworth (D-IL), Nay 
Durbin (D-IL), Nay 
Enzi (R-WY), Yea 
Ernst (R-IA), Yea 
Feinstein (D-CA), Nay 
Fischer (R-NE), Yea 
Flake (R-AZ), Yea 
Franken (D-MN), Nay 
Gardner (R-CO), Yea 
Gillibrand (D-NY), Nay 
Graham (R-SC), Yea 
Grassley (R-IA), Yea 
Harris (D-CA), Nay 
Hassan (D-NH), Nay 
Hatch (R-UT), Yea 
Heinrich (D-NM), Nay 
Heitkamp (D-ND), Nay 
Heller (R-NV), Yea 
Hirono (D-HI), Nay 
Hoeven (R-ND), Yea 
Inhofe (R-OK), Yea 
Isakson (R-GA), Yea 
Johnson (R-WI), Yea 
Kaine (D-VA), Nay 
Kennedy (R-LA), Yea 
King (I-ME), Nay 
Klobuchar (D-MN), Nay 
Lankford (R-OK), Yea 
Leahy (D-VT), Nay 
Lee (R-UT), Yea 
Manchin (D-WV), Nay 
Markey (D-MA), Nay 
McCain (R-AZ), Yea 
McCaskill (D-MO), Nay 
McConnell (R-KY), Yea 
Menendez (D-NJ), Nay 
Merkley (D-OR), Nay 
Moran (R-KS), Yea 
Murkowski (R-AK), Nay 
Murphy (D-CT), Nay 
Murray (D-WA), Nay 
Nelson (D-FL), Nay 
Paul (R-KY), Yea 
Perdue (R-GA), Yea 
Peters (D-MI), Nay 
Portman (R-OH), Yea 
Reed (D-RI), Nay 
Risch (R-ID), Yea 
Roberts (R-KS), Yea 
Rounds (R-SD), Yea 
Rubio (R-FL), Yea 
Sanders (I-VT), Nay 
Sasse (R-NE), Yea 
Schatz (D-HI), Nay 
Schumer (D-NY), Nay 
Scott (R-SC), Yea 
Sessions (R-AL), Yea 
Shaheen (D-NH), Nay 
Shelby (R-AL), Yea 
Stabenow (D-MI), Nay 
Sullivan (R-AK), Yea 
Tester (D-MT), Nay 
Thune (R-SD), Yea 
Tillis (R-NC), Yea 
Toomey (R-PA), Yea 
Udall (D-NM), Nay 
Van Hollen (D-MD), Nay 
Warner (D-VA), Nay 
Warren (D-MA), Nay 
Whitehouse (D-RI), Nay 
Wicker (R-MS), Yea 
Wyden (D-OR), Nay 
Young (R-IN), Yea
